Year,Suburb,Bedroom Count,Median House Price,Highest ICSEA Value,Crime Count,Year-ended Inflation
2002,AIRDS,4,150000,894,828,2.9
2002,ALBION PARK,4,199000,980,804,2.9
2002,ALBION PARK RAIL,4,199999,897,0,2.9
2002,ALFORDS POINT,4,550000,1070,97,2.9
2002,AMBARVALE,2,233000,931,911,2.9
2002,AMBARVALE,4,215000,931,911,2.9
2002,AUSTINMER,4,485000,1112,241,2.9
2002,AVONDALE,4,320000,1083,0,2.9
2002,BALARANG,4,255000,943,0,2.9
2002,BALGOWNIE,4,342000,943,348,2.9
2002,BANGOR,4,500000,1064,245,2.9
2002,BARDEN RIDGE,4,449000,1064,195,2.9
2002,BARRACK HEIGHTS,4,209000,873,743,2.9
2002,BARRACK POINT,4,273500,873,40,2.9
2002,BELLAMBI,4,230000,1136,827,2.9
2002,BERKELEY,4,131000,922,1141,2.9
2002,BLACKBUTT,4,234000,920,204,2.9
2002,BLAIR ATHOL,4,145000,755,78,2.9
2002,BLAIRMOUNT,4,240000,947,41,2.9
2002,BONNET BAY,4,612500,925,59,2.9
2002,BOW BOWING,4,250200,716,90,2.9
2002,BRADBURY,1,235000,996,992,2.9
2002,BRADBURY,4,215000,996,992,2.9
2002,BROUGHTON VILLAGE,4,170000,1057,3,2.9
2002,BROWNSVILLE,4,198750,1015,52,2.9
2002,BULLI,3,238000,1082,778,2.9
2002,BULLI,4,327500,1082,778,2.9
2002,BUNDEENA,4,438000,1071,104,2.9
2002,BURRANEER,4,1300000,982,170,2.9
2002,CALDERWOOD,4,165000,1065,18,2.9
2002,CAMPBELLTOWN,4,220000,845,4975,2.9
2002,CARAVAN HEAD,4,1210000,972,0,2.9
2002,CARINGBAH,2,382500,972,1594,2.9
2002,CARINGBAH,3,410000,972,1594,2.9
2002,CARINGBAH,4,595000,972,1594,2.9
2002,CLAYMORE,4,213250,991,603,2.9
2002,CLIFTON,4,677500,991,20,2.9
2002,COALCLIFF,4,552500,991,0,2.9
2002,COLEDALE,4,425000,874,0,2.9
2002,COMO,4,458000,662,201,2.9
2002,COMO WEST,4,517500,662,0,2.9
2002,CONISTON,4,267000,982,586,2.9
2002,CORDEAUX HEIGHTS,4,335000,916,0,2.9
2002,CORRIMAL,1,127500,916,1120,2.9
2002,CORRIMAL,2,221000,916,1120,2.9
2002,CORRIMAL,3,186000,916,1120,2.9
2002,CORRIMAL,4,289950,916,1120,2.9
2002,CRONULLA,1,441500,1084,2869,2.9
2002,CRONULLA,2,420000,1084,2869,2.9
2002,CRONULLA,3,540000,1084,2869,2.9
2002,CRONULLA,4,830000,1084,2869,2.9
2002,CROSS ROADS,4,1563000,950,0,2.9
2002,DAPTO,3,205000,979,1645,2.9
2002,DAPTO,4,185000,979,1645,2.9
2002,DARKES FOREST,4,800000,979,0,2.9
2002,DENHAM COURT,4,650000,846,49,2.9
2002,DOLANS BAY,4,695000,1021,22,2.9
2002,DUNMORE,4,312500,1009,0,2.9
2002,EAGLE VALE,4,225000,903,0,2.9
2002,EAGLEVALE,4,224000,903,0,2.9
2002,ENGADINE,1,260000,1066,1012,2.9
2002,ENGADINE,2,254500,1066,1012,2.9
2002,ENGADINE,3,251000,1066,1012,2.9
2002,ENGADINE,4,398000,1066,1012,2.9
2002,ESCHOL PARK,4,214000,983,154,2.9
2002,FAIRY MEADOW,3,102000,967,1116,2.9
2002,FAIRY MEADOW,4,264000,967,1116,2.9
2002,FARMBOROUGH HEIGHTS,4,224000,967,0,2.9
2002,FERNHILL,4,251500,933,49,2.9
2002,FIGTREE,4,270000,1033,803,2.9
2002,FLINDERS,3,275000,1033,157,2.9
2002,FLINDERS,4,159000,1033,157,2.9
2002,FOXGROUND,4,792500,945,7,2.9
2002,GERRINGONG,4,377000,894,197,2.9
2002,GERROA,4,470000,894,89,2.9
2002,GLEN ALPINE,4,387000,1026,222,2.9
2002,GLENFIELD,4,270000,1026,790,2.9
2002,GRAYS POINT,4,520000,1118,107,2.9
2002,GREENACRE,4,210000,966,0,2.9
2002,GWYNNEVILLE,4,280000,1061,297,2.9
2002,GYMEA,2,347500,1055,757,2.9
2002,GYMEA,3,347500,1055,757,2.9
2002,GYMEA,4,471250,1055,757,2.9
2002,GYMEA BAY,4,580000,1094,169,2.9
2002,HEATHCOTE,4,410000,1064,291,2.9
2002,HELENSBURGH,4,338500,1045,0,2.9
2002,HORSLEY,4,135000,1211,0,2.9
2002,ILLAWONG,4,585000,1065,324,2.9
2002,INGLEBURN,1,295000,983,1699,2.9
2002,INGLEBURN,4,265000,983,1699,2.9
2002,JAMBEROO,4,510000,747,51,2.9
2002,JANNALI,2,318000,1065,500,2.9
2002,JANNALI,4,380000,1065,500,2.9
2002,KANAHOOKA,3,1288000,971,0,2.9
2002,KANAHOOKA,4,265000,971,0,2.9
2002,KANGAROO POINT,4,1800000,971,19,2.9
2002,KAREELA,4,527500,971,134,2.9
2002,KEARNS,4,255000,971,124,2.9
