Year,Suburb,Postcode,Studio/House,Bedroom Count,Median House Price,Highest ICSEA Value,Sexual offences,Malicious damage to property,Prohibited and regulated weapons offences,Abduction and kidnapping,Betting and gaming offences,Assault ,"Intimidation, stalking and harassment ",Prostitution offences,Robbery ,Arson ,Transport regulatory offences ,Pornography offences,Blackmail and extortion ,Other offences ,Drug offences ,Homicide ,Against justice procedures ,Theft ,Disorderly conduct ,Liquor offences 
2002,AIRDS,2560,House,4 and above,150000,894,21,193,8,1,0,170,23,0,18,31,1,0,0,20,25,1,73,235,7,1
2002,ALBION PARK,2527,House,4 and above,199000,980,11,163,4,0,0,82,36,0,2,21,28,0,0,17,11,0,22,383,13,11
2002,ALBION PARK RAIL,2527,House,4 and above,199999,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,ALFORDS POINT,2234,House,4 and above,550000,1070,1,37,0,0,0,11,4,0,1,2,1,0,0,2,0,0,1,37,0,0
2002,AMBARVALE,2560,House,2,233000,931,15,158,6,1,0,157,36,0,16,52,0,0,0,14,12,1,49,380,13,1
2002,AMBARVALE,2560,House,4 and above,215000,931,15,158,6,1,0,157,36,0,16,52,0,0,0,14,12,1,49,380,13,1
2002,AUSTINMER,2515,House,4 and above,485000,1112,1,32,2,0,0,12,7,0,2,2,38,0,0,7,1,0,16,99,4,18
2002,AVONDALE,2530,House,4 and above,320000,1083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,BALARANG,2529,House,4 and above,255000,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,BALGOWNIE,2519,House,4 and above,342000,943,2,71,2,0,0,40,17,0,0,1,1,0,0,11,5,0,13,178,1,6
2002,BANGOR,2234,House,4 and above,500000,1064,2,74,1,1,0,22,12,0,1,3,0,0,0,1,3,0,6,113,3,3
2002,BARDEN RIDGE,2234,House,4 and above,449000,1064,8,79,3,0,0,8,4,0,0,2,0,0,0,4,3,0,1,81,0,2
2002,BARRACK HEIGHTS,2528,House,4 and above,209000,873,11,131,6,0,0,82,18,0,0,5,2,0,0,15,3,0,52,388,23,7
2002,BARRACK POINT,2528,House,4 and above,273500,873,0,2,0,0,0,4,2,0,0,0,0,0,0,3,0,0,8,21,0,0
2002,BELLAMBI,2518,House,4 and above,230000,1136,9,134,6,1,0,85,41,0,3,4,149,0,0,35,17,0,34,299,8,2
2002,BERKELEY,2506,House,4 and above,131000,922,10,230,13,1,0,96,24,0,11,15,0,0,0,29,27,0,70,594,20,1
